%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
What was illegal during Prohibition?\n\n  a. aphrodisiacs\n  b. alcohol\n  c. abstinence\n  d. perversion	禁酒令期間什麼是違法的？\n\n  a. 春藥\n  b. 酒精\n  c. 禁慾\n  d. 變態\n\nWhat was illegal during Prohibition?\n\n  a. aphrodisiacs\n  b. alcohol\n  c. abstinence\n  d. perversion
Bonnie and\n\n  a. Ronnie\n  b. Clyde\n  c. Hubbard\n  d. Clod	邦妮和\n\n  a. 隆尼\n  b. 克萊德\n  c. 哈伯德\n  d. 白癡\n\nBonnie and\n\n  a. Ronnie\n  b. Clyde\n  c. Hubbard\n  d. Clod
Who spends the most time in Las Vegas?\n\n  a. Michael J. Fox\n  b. Wayne Newton\n  c. J. Paul Getty\n  d. Paul Volcker	誰在拉斯維加斯花最多時間？\n\n  a. 麥克·J·福克斯\n  b. 韋恩·牛頓\n  c. 保羅·蓋蒂\n  d. 保羅·沃爾克\n\nWho spends the most time in Las Vegas?\n\n  a. Michael J. Fox\n  b. Wayne Newton\n  c. J. Paul Getty\n  d. Paul Volcker
Which U. S. President was not elected to office?\n\n  a. Johnson\n  b. Eisenhower\n  c. Ford\n  d. Cleveland	哪位美國總統不是選舉出來的？\n\n  a. 詹森\n  b. 艾森豪\n  c. 福特\n  d. 克利夫蘭\n\nWhich U. S. President was not elected to office?\n\n  a. Johnson\n  b. Eisenhower\n  c. Ford\n  d. Cleveland
Which is not a currency?\n\n  a. yen\n  b. lira\n  c. fennel\n  d. rupee	哪個不是貨幣？\n\n  a. 日元\n  b. 里拉\n  c. 茴香\n  d. 盧比\n\nWhich is not a currency?\n\n  a. yen\n  b. lira\n  c. fennel\n  d. rupee
Which is not a baseball team?\n\n  a. Blue Jays\n  b. Cardinals\n  c. Seahawks\n  d. Orioles	哪個不是棒球隊？\n\n  a. 藍鳥隊\n  b. 紅雀隊\n  c. 海鷹隊\n  d. 黃鶯隊\n\nWhich is not a baseball team?\n\n  a. Blue Jays\n  b. Cardinals\n  c. Seahawks\n  d. Orioles
Who made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?\n\n  a. Rolling Stones\n  b. Boy George\n  c. Olivia Newton Jean\n  d. Madonna	誰出過封面看起來像藍色牛仔褲、還有真正能拉的拉鍊的唱片？\n\n  a. 滾石樂隊\n  b. 男孩喬治\n  c. 奧莉薇亞·牛頓·強\n  d. 瑪丹娜\n\nWho made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?\n\n  a. Rolling Stones\n  b. Boy George\n  c. Olivia Newton Jean\n  d. Madonna
The American television debut of Bob Hope, Dinah Shore, Elvis, and the Beatles was on\n\n  a. "The Ed Sullivan Show."\n  b. "Your Show of Shows."\n  c. "The Tonight Show."\n  d. "My Mother, the Car."	鮑勃·霍普、迪娜·蕭、貓王和披頭四的美國電視首秀在\n\n  a. 「艾德蘇利文秀」。\n  b. 「你的節目秀」。\n  c. 「今夜秀」。\n  d. 「我的媽媽是輛車」。\n\nThe American television debut of Bob Hope, Dinah Shore, Elvis, and the Beatles was on\n\n  a. "The Ed Sullivan Show."\n  b. "Your Show of Shows."\n  c. "The Tonight Show."\n  d. "My Mother, the Car."
Michael Doonesbury founded\n\n  a. the American Nazi Party.\n  b. Walden Puddle Commune.\n  c. the Young Republicans.\n  d. the Grace Jones\n       Fan Club.	麥可·度尼斯伯里創立了\n\n  a. 美國納粹黨。\n  b. 瓦爾登湖公社。\n  c. 青年共和黨人。\n  d. 葛蕾絲·瓊絲粉絲俱樂部。\n\nMichael Doonesbury founded\n\n  a. the American Nazi Party.\n  b. Walden Puddle Commune.\n  c. the Young Republicans.\n  d. the Grace Jones\n       Fan Club.
The first baseball player to challenge the reserve clause was\n\n  a. Philly Jo Jones.\n  b. Roger Maris.\n  c. Curt Flood.\n  d. Ted Williams.	第一個挑戰保留條款的棒球員是\n\n  a. 費城喬·瓊斯。\n  b. 羅傑·馬里斯。\n  c. 庫爾特·弗勒德。\n  d. 泰德·威廉斯。\n\nThe first baseball player to challenge the reserve clause was\n\n  a. Philly Jo Jones.\n  b. Roger Maris.\n  c. Curt Flood.\n  d. Ted Williams.
The first Negro to play Major League Baseball was\n\n  a. Jackie Robinson.\n  b. Joe DiMaggio.\n  c. Benny Goodman.\n  d. Satchel Paige.	第一個進大聯盟的黑人棒球員是\n\n  a. 傑基·羅賓森。\n  b. 喬·迪瑪喬。\n  c. 班尼·古德曼。\n  d. 薩切爾·佩奇。\n\nThe first Negro to play Major League Baseball was\n\n  a. Jackie Robinson.\n  b. Joe DiMaggio.\n  c. Benny Goodman.\n  d. Satchel Paige.
Former Congressman Wilbur Mills went for a dip in the Tidal Basin with\n\n  a. nothing on but his\n       pride.\n  b. a stripper named Fanne.\n  c. his dog Spot.\n  d. a 20-year-old secretary.	前眾議院議員威爾伯·米爾斯在潮汐湖裡洗澡時帶著\n\n  a. 只穿著他的驕傲。\n  b. 一個叫芳恩的脫衣舞者。\n  c. 他的狗斯波特。\n  d. 一個 20 歲的秘書。\n\nFormer Congressman Wilbur Mills went for a dip in the Tidal Basin with\n\n  a. nothing on but his\n       pride.\n  b. a stripper named Fanne.\n  c. his dog Spot.\n  d. a 20-year-old secretary.
Martha Mitchell was\n\n  a. a porno star.\n  b. a famous author.\n  c. the outspoken wife of an\n       Attorney General.\n  d. All of the above.	瑪莎·米切爾是\n\n  a. 色情星。\n  b. 著名作家。\n  c. 司法部長的直言不諱的妻子。\n  d. 以上都對。\n\nMartha Mitchell was\n\n  a. a porno star.\n  b. a famous author.\n  c. the outspoken wife of an\n       Attorney General.\n  d. All of the above.
The G-Spot is supposed to be\n\n  a. Ground Zero at a nuclear\n       blast.\n  b. a female erogenous zone.\n  c. an unexplained astro-\n       nomical discovery.\n  d. the place where the FBI\n       was first established.	G 點應該是\n\n  a. 核爆炸的零地帶。\n  b. 女性的性感帶。\n  c. 一個不明的天文發現。\n  d. FBI 最初成立的地方。\n\nThe G-Spot is supposed to be\n\n  a. Ground Zero at a nuclear\n       blast.\n  b. a female erogenous zone.\n  c. an unexplained astro-\n       nomical discovery.\n  d. the place where the FBI\n       was first established.
Hugh Hefner is usually photographed in\n\n  a. the nude.\n  b. a hot tub.\n  c. his current lover's\n       arms.\n  d. pajamas.	休·海夫納通常被拍到\n\n  a. 裸體。\n  b. 溫泉浴缸裡。\n  c. 他現在情人的懷抱。\n  d. 睡衣。\n\nHugh Hefner is usually photographed in\n\n  a. the nude.\n  b. a hot tub.\n  c. his current lover's\n       arms.\n  d. pajamas.
The 1973 album "Dark Side of the Moon" was recorded by\n\n  a. Pink Floyd.\n  b. Deep Purple.\n  c. Bad News.\n  d. the Grateful Dead.	1973 年的《月球陰暗面》專輯是由誰錄製的？\n\n  a. 平克·弗洛伊德。\n  b. 深紫樂隊。\n  c. 壞消息樂隊。\n  d. 感恩而死樂隊。\n\nThe 1973 album "Dark Side of the Moon" was recorded by\n\n  a. Pink Floyd.\n  b. Deep Purple.\n  c. Bad News.\n  d. the Grateful Dead.
Dynamic logic = 3.	動態邏輯 = 3.
When playing "Monopoly" you\n\n  a. hope for a straight\n       flush.\n  b. must own four houses\n       before building\n       a hotel.\n  c. need a black jack to\n       win.\n  d. win with a seven and\n       a five.	玩「大富翁」時\n\n  a. 希望抽到同花順。\n  b. 必須先擁有四間房子才能蓋飯店。\n  c. 需要黑傑克才能贏。\n  d. 用 7 和 5 就能贏。\n\nWhen playing "Monopoly" you\n\n  a. hope for a straight\n       flush.\n  b. must own four houses\n       before building\n       a hotel.\n  c. need a black jack to\n       win.\n  d. win with a seven and\n       a five.
Which is not in Hawaii?\n\n  a. Oahu\n  b. Kauai\n  c. Fiji\n  d. Maui	哪個不在夏威夷？\n\n  a. 歐胡島\n  b. 考艾島\n  c. 斐濟\n  d. 毛伊島\n\nWhich is not in Hawaii?\n\n  a. Oahu\n  b. Kauai\n  c. Fiji\n  d. Maui
Which is not a car?\n\n  a. Ferrari\n  b. Porsche\n  c. Corvair\n  d. Toshiba	哪個不是車？\n\n  a. 法拉利\n  b. 保時捷\n  c. 標緻\n  d. 東芝\n\nWhich is not a car?\n\n  a. Ferrari\n  b. Porsche\n  c. Corvair\n  d. Toshiba
President Eisenhower's nickname was\n\n  a. Tink.\n  b. Blackjack.\n  c. Ike.\n  d. Tina.	艾森豪總統的暱稱是\n\n  a. 丁克。\n  b. 21 點。\n  c. 艾克。\n  d. 蒂娜。\n\nPresident Eisenhower's nickname was\n\n  a. Tink.\n  b. Blackjack.\n  c. Ike.\n  d. Tina.
Bourbon Street is in\n\n  a. Whiskeyville, Indiana.\n  b. Jackass Flats, Idaho.\n  c. "Monopoly."\n  d. New Orleans, Louisiana.	波旁街在\n\n  a. 威士忌城，印地安那州。\n  b. 蠢蛋平原，愛達荷州。\n  c. 「大富翁」裡。\n  d. 紐奧良，路易斯安那州。\n\nBourbon Street is in\n\n  a. Whiskeyville, Indiana.\n  b. Jackass Flats, Idaho.\n  c. "Monopoly."\n  d. New Orleans, Louisiana.
Does a pair of queens beat three deuces?\n\n  a. Yes, in blackjack.\n  b. Yes, in poker.\n  c. No, in canasta.\n  d. It depends on what the\n       three deuces said.	一對皇后能贏三張二？\n\n  a. 是的，在 21 點。\n  b. 是的，在撲克。\n  c. 不是，在卡納斯塔。\n  d. 這取決於三張二說了什麼。\n\nDoes a pair of queens beat three deuces?\n\n  a. Yes, in blackjack.\n  b. Yes, in poker.\n  c. No, in canasta.\n  d. It depends on what the\n       three deuces said.
Calvin Klein is\n\n  a. married to\n       Brooke Shields.\n  b. a movie star.\n  c. a clothing designer.\n  d. President of the\n       Coarsegold Chamber\n       of Commerce.	卡爾文·克萊因是\n\n  a. 和布魯克·希爾茲結婚。\n  b. 電影明星。\n  c. 服裝設計師。\n  d. 粗金商會主席。\n\nCalvin Klein is\n\n  a. married to\n       Brooke Shields.\n  b. a movie star.\n  c. a clothing designer.\n  d. President of the\n       Coarsegold Chamber\n       of Commerce.
Two bits is\n\n  a. all it takes to consume\n       a "Big Mac."\n  b. computer talk.\n  c. about a dollar.\n  d. the former cost for a\n       shave and a haircut.	兩毛五是\n\n  a. 買一個「大麥克」的全部花費。\n  b. 電腦術語。\n  c. 大約一塊錢。\n  d. 以前剃鬍子剪頭髮的價錢。\n\nTwo bits is\n\n  a. all it takes to consume\n       a "Big Mac."\n  b. computer talk.\n  c. about a dollar.\n  d. the former cost for a\n       shave and a haircut.
Charlie McCarthy and\n\n  a. John Lennon\n  b. Louis Pasteur\n  c. Albert Einstein\n  d. Edgar Bergen	查理·麥卡錫和\n\n  a. 約翰·藍儂\n  b. 路易·巴斯德\n  c. 阿爾伯特·愛因斯坦\n  d. 埃德加·伯根\n\nCharlie McCarthy and\n\n  a. John Lennon\n  b. Louis Pasteur\n  c. Albert Einstein\n  d. Edgar Bergen
Who is not a famous musician?\n\n  a. Lawrence Welk\n  b. Tommy Dorsey\n  c. Les Brown\n  d. Steve Garvey	誰不是著名音樂家？\n\n  a. 勞倫斯·韋爾克\n  b. 湯米·多塞\n  c. 萊斯·布朗\n  d. 史蒂夫·加維\n\nWho is not a famous musician?\n\n  a. Lawrence Welk\n  b. Tommy Dorsey\n  c. Les Brown\n  d. Steve Garvey
Which is non-alcoholic?\n\n  a. whiskey\n  b. Grand Marnier\n  c. Perrier\n  d. tequila	哪個不含酒精？\n\n  a. 威士忌\n  b. 君度\n  c. 巴黎水\n  d. 龍舌蘭\n\nWhich is non-alcoholic?\n\n  a. whiskey\n  b. Grand Marnier\n  c. Perrier\n  d. tequila
Who was not a politician?\n\n  a. Richard Nixon\n  b. Ronald Reagan\n  c. W. C. Fields\n  d. George Bush	誰不是政治家？\n\n  a. 理查德·尼克遜\n  b. 隆納·雷根\n  c. W·C·菲爾茲\n  d. 喬治·布什\n\nWho was not a politician?\n\n  a. Richard Nixon\n  b. Ronald Reagan\n  c. W. C. Fields\n  d. George Bush
The last name of Annette (on the original Mickey Mouse Club) was\n\n  a. Funnicular.\n  b. that WAS her last name.\n  c. Funicello.\n  d. Avalon.	原版米老鼠俱樂部的安妮特的姓是\n\n  a. 纜車。\n  b. 就是她的姓。\n  c. 富尼切洛。\n  d. 阿瓦隆。\n\nThe last name of Annette (on the original Mickey Mouse Club) was\n\n  a. Funnicular.\n  b. that WAS her last name.\n  c. Funicello.\n  d. Avalon.
"Tiptoe Through the Tulips" was recorded by\n\n  a. Alice Cooper.\n  b. Alice B. Toklas.\n  c. Tiny Tim.\n  d. Big Tiny Little.	「腳尖穿過鬱金香」是由誰錄製的？\n\n  a. 愛麗絲·庫珀\n  b. 愛麗絲·B·托卡拉斯\n  c. 小蒂姆\n  d. 大小蒂姆\n\n"Tiptoe Through the Tulips" was recorded by\n\n  a. Alice Cooper.\n  b. Alice B. Toklas.\n  c. Tiny Tim.\n  d. Big Tiny Little.
Which one of these was not a war?\n\n  a. Crimean\n  b. Korean\n  c. Chinese\n  d. Vietnamese	哪個不是戰爭？\n\n  a. 克里米亞戰爭\n  b. 韓戰\n  c. 中文\n  d. 越戰\n\nWhich one of these was not a war?\n\n  a. Crimean\n  b. Korean\n  c. Chinese\n  d. Vietnamese
Who's buried in Grant's tomb?\n\n  a. Grant Tinker\n  b. Land Grant\n  c. NSF Grant\n  d. Mrs. Grant	誰埋在格蘭特陵墓？\n\n  a. 格蘭特·廷克\n  b. 地方補助\n  c. 美國國家科學基金會補助\n  d. 格蘭特太太\n\nWho's buried in Grant's tomb?\n\n  a. Grant Tinker\n  b. Land Grant\n  c. NSF Grant\n  d. Mrs. Grant
John F. Kennedy drove a\n\n  a. PT boat.\n  b. spike faster than a\n       steam driver.\n  c. battleship.\n  d. Ferrari.	甘迺迪開的是\n\n  a. 魚雷艇。\n  b. 尖釘速度比蒸汽槍更快。\n  c. 戰艦。\n  d. 法拉利。\n\nJohn F. Kennedy drove a\n\n  a. PT boat.\n  b. spike faster than a\n       steam driver.\n  c. battleship.\n  d. Ferrari.
Peter Piper picked a peck of pickled\n\n  a. pips.\n  b. pipers.\n  c. peppers.\n  d. peekers.	彼得·派帕採了一籮筐醃製的\n\n  a. 籽。\n  b. 風笛手。\n  c. 辣椒。\n  d. 偷窺狂。\n\nPeter Piper picked a peck of pickled\n\n  a. pips.\n  b. pipers.\n  c. peppers.\n  d. peekers.
A result of Watergate was\n\n  a. the loss of water.\n  b. Jimmy Carter quit.\n  c. Richard Nixon quit.\n  d. Gerald Ford quit.	水門事件的結果是\n\n  a. 失去水。\n  b. 吉米·卡特辭職。\n  c. 理查德·尼克遜辭職。\n  d. 傑拉爾德·福特辭職。\n\nA result of Watergate was\n\n  a. the loss of water.\n  b. Jimmy Carter quit.\n  c. Richard Nixon quit.\n  d. Gerald Ford quit.
I find computer games with adult content\n\n  a. offensive.\n  b. acceptable.\n  c. repulsive.\n  d. under my bed.	我覺得有成人內容的電腦遊戲\n\n  a. 令人不快。\n  b. 可以接受。\n  c. 令人厭惡。\n  d. 在我床下。\n\nI find computer games with adult content\n\n  a. offensive.\n  b. acceptable.\n  c. repulsive.\n  d. under my bed.
The Atlantic and Pacific Oceans are connected by the\n\n  a. Panama Canal.\n  b. Snake River.\n  c. hips.\n  d. Isthmus of Panama.	大西洋和太平洋由\n\n  a. 巴拿馬運河。\n  b. 蛇河。\n  c. 臀部連接。\n  d. 巴拿馬地峽。\n\nThe Atlantic and Pacific Oceans are connected by the\n\n  a. Panama Canal.\n  b. Snake River.\n  c. hips.\n  d. Isthmus of Panama.
The most likely place to find virgins is\n\n  a. The Virgin Islands.\n  b. Virginia.\n  c. St. Mary's Girls School.\n  d. Hollywood.	最可能找到處女的地方是\n\n  a. 處女群島。\n  b. 維吉尼亞州。\n  c. 聖瑪麗女子學校。\n  d. 好萊塢。\n\nThe most likely place to find virgins is\n\n  a. The Virgin Islands.\n  b. Virginia.\n  c. St. Mary's Girls School.\n  d. Hollywood.
Who wrote "To be, or not to be?"\n\n  a. Bill Shakespeare.\n  b. Paul McCartney.\n  c. George Bernard Shaw.\n  d. Tennessee Williams.	誰寫的「生存或毀滅」？\n\n  a. 比爾·莎士比亞\n  b. 保羅·麥卡特尼\n  c. 喬治·伯納·蕭\n  d. 田納西·威廉斯\n\nWho wrote "To be, or not to be?"\n\n  a. Bill Shakespeare.\n  b. Paul McCartney.\n  c. George Bernard Shaw.\n  d. Tennessee Williams.
The largest state is\n\n  a. California.\n  b. Alaska.\n  c. Rhode Island.\n  d. Texas.	最大的州是\n\n  a. 加州。\n  b. 阿拉斯加州。\n  c. 羅德島州。\n  d. 德州。\n\nThe largest state is\n\n  a. California.\n  b. Alaska.\n  c. Rhode Island.\n  d. Texas.
Utah is full of\n\n  a. fresh water.\n  b. Jews.\n  c. Catholics.\n  d. None of the above.	猶他州充滿了\n\n  a. 新鮮水。\n  b. 猶太人。\n  c. 天主教徒。\n  d. 以上都不是。\n\nUtah is full of\n\n  a. fresh water.\n  b. Jews.\n  c. Catholics.\n  d. None of the above.
The leader of Nazi Germany was\n\n  a. Boris Godunov.\n  b. Mussolini.\n  c. Oleg Cassinni.\n  d. Adolph Hitler.	納粹德國的領袖是\n\n  a. 鮑里斯·戈都諾夫\n  b. 墨索里尼\n  c. 奧列格·卡西尼\n  d. 阿道夫·希特勒\n\nThe leader of Nazi Germany was\n\n  a. Boris Godunov.\n  b. Mussolini.\n  c. Oleg Cassinni.\n  d. Adolph Hitler.
Lee Harvey Oswald killed\n\n  a. Harvey Milk.\n  b. Charles Nelson Reilly.\n  c. John Fitzgerald Kennedy.\n  d. William Randolph Hearst.	李·哈維·奧斯瓦爾德殺死了\n\n  a. 哈維·牛奶\n  b. 查爾斯·尼爾森·萊利\n  c. 約翰·菲茨傑拉德·甘迺迪\n  d. 威廉·倫道夫·赫斯特\n\nLee Harvey Oswald killed\n\n  a. Harvey Milk.\n  b. Charles Nelson Reilly.\n  c. John Fitzgerald Kennedy.\n  d. William Randolph Hearst.
How many molecules are in a glass of water?\n\n  a. one million\n  b. one trillion\n  c. one million trillion\n  d. as many as there are\n       glasses of water\n       in the whole world	一杯水有幾個分子？\n\n  a. 一百萬\n  b. 一兆\n  c. 一百萬兆\n  d. 等於世界上所有杯子裡的水\n\nHow many molecules are in a glass of water?\n\n  a. one million\n  b. one trillion\n  c. one million trillion\n  d. as many as there are\n       glasses of water\n       in the whole world
If a physician were stranded on a desert island with Bo Derek, he would probably\n\n  a. build a boat.\n  b. take two aspirins.\n  c. overcharge her.\n  d. thank God.	如果醫生和博·德瑞克被困在荒島上，他可能會\n\n  a. 造一艘船。\n  b. 吃兩個阿司匹林。\n  c. 收她高價。\n  d. 感謝上帝。\n\nIf a physician were stranded on a desert island with Bo Derek, he would probably\n\n  a. build a boat.\n  b. take two aspirins.\n  c. overcharge her.\n  d. thank God.
If Bo Derek were here, I'd ask her to\n\n  a. leave.\n  b. respect my privacy.\n  c. help me with my\n       homework.\n  d. stop playing computer\n       games.	如果博·德瑞克在這裡，我會問她\n\n  a. 離開。\n  b. 尊重我的隱私。\n  c. 幫我做功課。\n  d. 停止玩電腦遊戲。\n\nIf Bo Derek were here, I'd ask her to\n\n  a. leave.\n  b. respect my privacy.\n  c. help me with my\n       homework.\n  d. stop playing computer\n       games.
Joe DiMaggio played\n\n  a. pool.\n  b. baseball.\n  c. basketball.\n  d. trumpet.	喬·迪瑪喬玩的是\n\n  a. 撞球。\n  b. 棒球。\n  c. 籃球。\n  d. 小號。\n\nJoe DiMaggio played\n\n  a. pool.\n  b. baseball.\n  c. basketball.\n  d. trumpet.
The most populous city in the United States is\n\n  a. Los Angeles.\n  b. Mexico City.\n  c. New York.\n  d. Chicago.	美國人口最多的城市是\n\n  a. 洛杉磯\n  b. 墨西哥城\n  c. 紐約\n  d. 芝加哥\n\nThe most populous city in the United States is\n\n  a. Los Angeles.\n  b. Mexico City.\n  c. New York.\n  d. Chicago.
A nehru jacket is\n\n  a. made from tanned nehru\n       hides.\n  b. out of date.\n  c. a Middle Eastern\n       prophylactic.\n  d. around a car's radiator.	尼赫魯夾克是\n\n  a. 用鞣製的尼赫魯皮做的。\n  b. 過時的。\n  c. 中東避孕套。\n  d. 車子散熱器周圍的東西。\n\nA nehru jacket is\n\n  a. made from tanned nehru\n       hides.\n  b. out of date.\n  c. a Middle Eastern\n       prophylactic.\n  d. around a car's radiator.
Sergeant Pepper was\n\n  a. the Beatles' chauffeur.\n  b. Elvis' manager.\n  c. the leader of the Lonely\n       Hearts Club Band.\n  d. hung for treason.	佩珀中士是\n\n  a. 披頭四的司機。\n  b. 貓王的經紀人。\n  c. 寂寞心靈俱樂部樂隊的領導。\n  d. 因叛國罪被絞死。\n\nSergeant Pepper was\n\n  a. the Beatles' chauffeur.\n  b. Elvis' manager.\n  c. the leader of the Lonely\n       Hearts Club Band.\n  d. hung for treason.
Which is not an American armed force?\n\n  a. the Army\n  b. the Navy\n  c. the National Guard\n  d. the National League	哪個不是美國武裝部隊？\n\n  a. 陸軍\n  b. 海軍\n  c. 國民警衛隊\n  d. 美國職棒大聯盟\n\nWhich is not an American armed force?\n\n  a. the Army\n  b. the Navy\n  c. the National Guard\n  d. the National League
The most effective form of birth control is\n\n  a. abstinence.\n  b. the Rhythm Method.\n  c. the Pill.\n  d. dating ugly people.	最有效的避孕方法是\n\n  a. 禁慾。\n  b. 安全期法。\n  c. 避孕藥。\n  d. 和醜人約會。\n\nThe most effective form of birth control is\n\n  a. abstinence.\n  b. the Rhythm Method.\n  c. the Pill.\n  d. dating ugly people.
Which is not a city in Mexico?\n\n  a. Tijuana\n  b. Puerto Vallarta\n  c. San Diego\n  d. Mexico City	哪個不是墨西哥的城市？\n\n  a. 蒂華納\n  b. 巴亞爾塔港\n  c. 聖地亞哥\n  d. 墨西哥城\n\nWhich is not a city in Mexico?\n\n  a. Tijuana\n  b. Puerto Vallarta\n  c. San Diego\n  d. Mexico City
Herb Alpert and the _____ Brass\n\n  a. Tijuana\n  b. Boss\n  c. Canadian\n  d. Top	赫伯·艾爾伯特和_____ 銅管樂隊\n\n  a. 蒂華納\n  b. 老闆\n  c. 加拿大\n  d. 頂級\n\nHerb Alpert and the _____ Brass\n\n  a. Tijuana\n  b. Boss\n  c. Canadian\n  d. Top
"It's not nice to fool"\n\n  a. Mother Hubbard.\n  b. Mother Nature.\n  c. the government.\n  d. Mayor Daly.	「愚弄 ___ 不太好」\n\n  a. 哈伯德太太。\n  b. 大自然母親。\n  c. 政府。\n  d. 戴利市長。\n\n"It's not nice to fool"\n\n  a. Mother Hubbard.\n  b. Mother Nature.\n  c. the government.\n  d. Mayor Daly.
"Where's the"\n\n  a. catsup?\n  b. toilet?\n  c. beef?\n  d. rest of this game?	「那_____ 呢？」\n\n  a. 番茄醬\n  b. 廁所\n  c. 牛肉\n  d. 遊戲的其他部分\n\n"Where's the"\n\n  a. catsup?\n  b. toilet?\n  c. beef?\n  d. rest of this game?
Who was not an astronaut?\n\n  a. John Milton\n  b. John Glenn\n  c. Neil Armstrong\n  d. Richard Gordon	誰不是太空人？\n\n  a. 約翰·彌爾頓\n  b. 約翰·格倫\n  c. 尼爾·阿姆斯特朗\n  d. 理查德·戈登\n\nWho was not an astronaut?\n\n  a. John Milton\n  b. John Glenn\n  c. Neil Armstrong\n  d. Richard Gordon
Who has not been a\nU. S. Attorney General?\n\n  a. John Mitchell\n  b. Sam Shepard\n  c. Ramsey Clark\n  d. Herbert Browner	誰從未當過美國司法部長？\n\n  a. 約翰·米切爾\n  b. 山姆·謝帕德\n  c. 拉姆齊·克拉克\n  d. 赫伯特·布朗納\n\nWho has not been a\nU. S. Attorney General?\n\n  a. John Mitchell\n  b. Sam Shepard\n  c. Ramsey Clark\n  d. Herbert Browner
Which is not a cheese?\n\n  a. Jarlsburg\n  b. Mozzarella\n  c. Brie\n  d. Reisling	哪個不是起司？\n\n  a. 耶爾堡\n  b. 莫札瑞拉\n  c. 布里\n  d. 雷司令\n\nWhich is not a cheese?\n\n  a. Jarlsburg\n  b. Mozzarella\n  c. Brie\n  d. Reisling
Captain Kangaroo's sidekick was\n\n  a. Mr. Potato Head.\n  b. Winnie the Pooh.\n  c. Mr. Rogers.\n  d. Mr. Greenjeans.	袋鼠上尉的搭檔是\n\n  a. 馬鈴薯先生。\n  b. 小熊維尼。\n  c. 羅傑先生。\n  d. 綠褲先生。\n\nCaptain Kangaroo's sidekick was\n\n  a. Mr. Potato Head.\n  b. Winnie the Pooh.\n  c. Mr. Rogers.\n  d. Mr. Greenjeans.
Mohammed Ali is\n\n  a. a ballet star.\n  b. an Arab terrorist.\n  c. a professional boxer.\n  d. a singer.	穆罕默德·阿里是\n\n  a. 芭蕾舞星。\n  b. 阿拉伯恐怖分子。\n  c. 職業拳擊手。\n  d. 歌手。\n\nMohammed Ali is\n\n  a. a ballet star.\n  b. an Arab terrorist.\n  c. a professional boxer.\n  d. a singer.
Who is not a mass murderer?\n\n  a. Charlie Manson\n  b. Ted Bundy\n  c. Jack the Ripper\n  d. Timothy Leary	誰不是連續殺人犯？\n\n  a. 查理·曼森\n  b. 泰德·邦迪\n  c. 開膛手傑克\n  d. 提摩西·李瑞\n\nWho is not a mass murderer?\n\n  a. Charlie Manson\n  b. Ted Bundy\n  c. Jack the Ripper\n  d. Timothy Leary
There are about _____ calories in a can of beer.\n\n  a. 15\n  b. 150\n  c. 1500\n  d. 15000	一罐啤酒大約有_____ 卡路里。\n\n  a. 15\n  b. 150\n  c. 1500\n  d. 15000\n\nThere are about _____ calories in a can of beer.\n\n  a. 15\n  b. 150\n  c. 1500\n  d. 15000
John Belushi was on\n\n  a. "Mr. Rogers."\n  b. "The PTL club."\n  c. "My Mother the Car."\n  d. "Saturday Night Live."	約翰·貝魯什在\n\n  a. 「羅傑先生」。\n  b. 「PTL 俱樂部」。\n  c. 「我的媽媽是輛車」。\n  d. 「週六夜現場」。\n\nJohn Belushi was on\n\n  a. "Mr. Rogers."\n  b. "The PTL club."\n  c. "My Mother the Car."\n  d. "Saturday Night Live."
James Earl Jones was the voice of\n\n  a. Jason in "Friday\n       the 13th."\n  b. Freddie in "Nightmare on\n       Elm Street."\n  c. Darth Vader in\n       "Star Wars."\n  d. Kriswell in "Plan 9 From\n       Outer Space."	詹姆斯·厄爾·瓊斯是\n\n  a. 「十三號星期五」裡傑森的配音。\n  b. 「夢魘街 13 號」裡弗雷迪的配音。\n  c. 「星際大戰」裡黑武士的配音。\n  d. 「外太空計畫 9」裡克里斯威爾的配音。\n\nJames Earl Jones was the voice of\n\n  a. Jason in "Friday\n       the 13th."\n  b. Freddie in "Nightmare on\n       Elm Street."\n  c. Darth Vader in\n       "Star Wars."\n  d. Kriswell in "Plan 9 From\n       Outer Space."
Doonesbury's "Uncle Duke" is based on\n\n  a. Jeffrey Hunter.\n  b. Hunter S. Thompson.\n  c. Huntz Hall.\n  d. None of the above.	「Doonesbury」的「公爵叔叔」以誰為原型？\n\n  a. 傑弗瑞·亨特\n  b. 亨特·S·湯普森\n  c. 亨茲·霍爾\n  d. 以上都不是。\n\nDoonesbury's "Uncle Duke" is based on\n\n  a. Jeffrey Hunter.\n  b. Hunter S. Thompson.\n  c. Huntz Hall.\n  d. None of the above.
