%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
Who is not a mass murderer?\n\n  a. Charlie Manson\n  b. Ted Bundy\n  c. Jack the Ripper\n  d. Timothy Leary	Who is not a mass murderer?\n\n  a. Charlie Manson\n  b. Ted Bundy\n  c. Jack the Ripper\n  d. Timothy Leary
There are about _____ calories in a can of beer.\n\n  a. 15\n  b. 150\n  c. 1500\n  d. 15000	There are about _____ calories in a can of beer.\n\n  a. 15\n  b. 150\n  c. 1500\n  d. 15000
John Belushi was on\n\n  a. "Mr. Rogers."\n  b. "The PTL club."\n  c. "My Mother the Car."\n  d. "Saturday Night Live."	John Belushi was on\n\n  a. "Mr. Rogers."\n  b. "The PTL club."\n  c. "My Mother the Car."\n  d. "Saturday Night Live."
James Earl Jones was the voice of\n\n  a. Jason in "Friday\n       the 13th."\n  b. Freddie in "Nightmare on\n       Elm Street."\n  c. Darth Vader in\n       "Star Wars."\n  d. Kriswell in "Plan 9 From\n       Outer Space."	James Earl Jones was the voice of\n\n  a. Jason in "Friday\n       the 13th."\n  b. Freddie in "Nightmare on\n       Elm Street."\n  c. Darth Vader in\n       "Star Wars."\n  d. Kriswell in "Plan 9 From\n       Outer Space."
Doonesbury's "Uncle Duke" is based on\n\n  a. Jeffrey Hunter.\n  b. Hunter S. Thompson.\n  c. Huntz Hall.\n  d. None of the above.	Doonesbury's "Uncle Duke" is based on\n\n  a. Jeffrey Hunter.\n  b. Hunter S. Thompson.\n  c. Huntz Hall.\n  d. None of the above.
In Westworld, "where nothing can go wrong," guests were entertained by\n\n  a. Stephen Wright.\n  b. X-rated movies.\n  c. robots.\n  d. Rodney Dangerfield.	In Westworld, "where nothing can go wrong," guests were entertained by\n\n  a. Stephen Wright.\n  b. X-rated movies.\n  c. robots.\n  d. Rodney Dangerfield.
Mork was from the planet\n\n  a. Ork.\n  b. Vulcan.\n  c. Krypton.\n  d. Pluto.	Mork was from the planet\n\n  a. Ork.\n  b. Vulcan.\n  c. Krypton.\n  d. Pluto.
Who was banned from "Saturday Night Live" because he lost a telephone poll?\n\n  a. John Belushi\n  b. Dan Akroyd\n  c. Chevy Chase\n  d. Andy Kaufman	Who was banned from "Saturday Night Live" because he lost a telephone poll?\n\n  a. John Belushi\n  b. Dan Akroyd\n  c. Chevy Chase\n  d. Andy Kaufman
Dynamic logic = 4.	Dynamic logic = 4.
Warning:\n\n"Leisure Suit Larry in the Land of the Lounge Lizards" contains some elements of plot which may not be  considered appropriate for some children.	Warning:\n\n"Leisure Suit Larry in the Land of the Lounge Lizards" contains some elements of plot which may not be  considered appropriate for some children.
How old are you?  	How old are you?  
To verify you are really %v209, please answer five simple questions.	To verify you are really %v209, please answer five simple questions.
Sorry.\n\nThis game can only be played by adults, or with an adult.\n\nPlease find an adult, come back, and try again.	Sorry.\n\nThis game can only be played by adults, or with an adult.\n\nPlease find an adult, come back, and try again.
Oops. You blew that one!\n\nIf you miss another, you can't possibly be %v209.	Oops. You blew that one!\n\nIf you miss another, you can't possibly be %v209.
You're a kid!!\n\nShame on you for trying to deceive a friendly game like this!\n\nPlease play again when you're older.	You're a kid!!\n\nShame on you for trying to deceive a friendly game like this!\n\nPlease play again when you're older.
Correct.	Correct.
         Thank you.\n\nAnd now, slip into your leisure suit and prepare to enter the "Land of the Lounge Lizards" with "Leisure Suit Larry!"	         Thank you.\n\nAnd now, slip into your leisure suit and prepare to enter the "Land of the Lounge Lizards" with "Leisure Suit Larry!"
         Warning!\n\nThis game may be hazardous to those with heart conditions!	         Warning!\n\nThis game may be hazardous to those with heart conditions!
No, you're not!	No, you're not!
Question #%v208. Correct answer is %v211.	Question #%v208. Correct answer is %v211.
%v62 cycles in %v63 seconds	%v62 cycles in %v63 seconds
Hey! You're not alive yet.	Hey! You're not alive yet.
The Sierra adventure team races to your rescue, dumping your worthless, leisure suit- clad hulk into their giant bit bucket, for recycling into future games. Their underground workshop is humming with activity. This is "Where Adventurers Are Made, Not Born!"	The Sierra adventure team races to your rescue, dumping your worthless, leisure suit- clad hulk into their giant bit bucket, for recycling into future games. Their underground workshop is humming with activity. This is "Where Adventurers Are Made, Not Born!"
Commander Cavin quickly assembles a replacement Larry, while subordinates repair players damaged in other Sierra adventure games.	Commander Cavin quickly assembles a replacement Larry, while subordinates repair players damaged in other Sierra adventure games.
With your new body and ego, you are returned to fight again the battles of Lost Wages!\n\n(Now you know what we have to go through every time you press that "Restart" key.)	With your new body and ego, you are returned to fight again the battles of Lost Wages!\n\n(Now you know what we have to go through every time you press that "Restart" key.)
Larry, when are you gonna learn to stay out of those dark alleys!!	Larry, when are you gonna learn to stay out of those dark alleys!!
"Hey guys!! He's screwed up again! Dump this one down the tubes, and get him another body!"	"Hey guys!! He's screwed up again! Dump this one down the tubes, and get him another body!"
Since you're dead, why are you talking?? Just hang on for the ride.	Since you're dead, why are you talking?? Just hang on for the ride.
It appears he wants something -- YOU! Get out of here!	It appears he wants something -- YOU! Get out of here!
The cabbie snarls a "Where to, buddy?" as he swings the meter flag down.	The cabbie snarls a "Where to, buddy?" as he swings the meter flag down.
"Lookin' for action, eh? Dis town is full of it. We gotta disco that's usually full of foxes this time of night. Den dere's the casino, next to the all-night weddin' chapel. And we gotta lovely bar, but you've been dere. Me, I like da convenience store next to da disco, but of course, that's just personal preference."	"Lookin' for action, eh? Dis town is full of it. We gotta disco that's usually full of foxes this time of night. Den dere's the casino, next to the all-night weddin' chapel. And we gotta lovely bar, but you've been dere. Me, I like da convenience store next to da disco, but of course, that's just personal preference."
"It won't take us long to get back dere, but I'll have to circle 'round da block."	"It won't take us long to get back dere, but I'll have to circle 'round da block."
"Well, here we are, buddy. That'll be $%v200.00."	"Well, here we are, buddy. That'll be $%v200.00."
"So, wadda we gonna do, buddy? Ya just gonna sit here all night? I gotta earn a livin' too, ya know!"	"So, wadda we gonna do, buddy? Ya just gonna sit here all night? I gotta earn a livin' too, ya know!"
"Why don'cha wait'll we git there, buddy?"	"Why don'cha wait'll we git there, buddy?"
"Sorry, but the meter's runnin'. Where ja wanna go?"	"Sorry, but the meter's runnin'. Where ja wanna go?"
"Thanks, buddy. Maybe I'll see ya again sometime!"	"Thanks, buddy. Maybe I'll see ya again sometime!"
"Waddaya tryin' to do, peahead! You're not gonna stiff me, and get away with it!"	"Waddaya tryin' to do, peahead! You're not gonna stiff me, and get away with it!"
You wish you hadn't. Mr. America, he ain't. His strongest feature seems to be his odor!	You wish you hadn't. Mr. America, he ain't. His strongest feature seems to be his odor!
He wonders why you keep looking at him, and flashes a coy little smile back at you in the mirror. Your stomach turns, and not from the ride!	He wonders why you keep looking at him, and flashes a coy little smile back at you in the mirror. Your stomach turns, and not from the ride!
The driver looks at you and says, "Hey! What's that you got? Wine?" He grabs your bottle of wine, and guzzles it down!	The driver looks at you and says, "Hey! What's that you got? Wine?" He grabs your bottle of wine, and guzzles it down!
"Ok, but it'll cost ja extra!"	"Ok, but it'll cost ja extra!"
"Waddaya mean, 'no money!!'" snarls the driver. "Step outside my office, chump!"	"Waddaya mean, 'no money!!'" snarls the driver. "Step outside my office, chump!"
"Ok. You got it, Mac!"	"Ok. You got it, Mac!"
Hang on, Larry. He's swerving all over the road!	Hang on, Larry. He's swerving all over the road!
Whew! You're glad to get out of here.	Whew! You're glad to get out of here.
It seems a bridge abutment has brought your game to a sudden stop! Remember, Larry: "Friends don't let cabbies drive drunk!"	It seems a bridge abutment has brought your game to a sudden stop! Remember, Larry: "Friends don't let cabbies drive drunk!"
"I'm sorry, but it's against my personal philosophy to accept a gratuity!"	"I'm sorry, but it's against my personal philosophy to accept a gratuity!"
Sheepishly, you apologize to the cabbie for not carrying enough money to pay for the ride.	Sheepishly, you apologize to the cabbie for not carrying enough money to pay for the ride.
"So? Are ya gonna get outta my cab, or not?? Thanks for da business, but I didn't want ta make no career outta this!"	"So? Are ya gonna get outta my cab, or not?? Thanks for da business, but I didn't want ta make no career outta this!"
"So? Are ya gonna pay up, or do I have ta get rough with cha??"	"So? Are ya gonna pay up, or do I have ta get rough with cha??"
It seems to be running a little fast, but then, this is an expensive town!	It seems to be running a little fast, but then, this is an expensive town!
You wonder if cab companies have full-time employees to make these floors sticky.	You wonder if cab companies have full-time employees to make these floors sticky.
Even the ceiling's grungy.	Even the ceiling's grungy.
"Ok, buddy," says the cabbie. "But why would cha wanna go there?"	"Ok, buddy," says the cabbie. "But why would cha wanna go there?"
He sure drives fast, doesn't he?	He sure drives fast, doesn't he?
"Nope. Next time, make up your mind before ya gets in da cab!"	"Nope. Next time, make up your mind before ya gets in da cab!"
You are outside Lefty's bar. Isn't it wonderful what can be done with a little neon?	You are outside Lefty's bar. Isn't it wonderful what can be done with a little neon?
There is a sign on that utility pole.	There is a sign on that utility pole.
It appears that the hooker gave you a little more than you bargained for!	It appears that the hooker gave you a little more than you bargained for!
Considering the looks of this place, you decide that next time you'd be better off to spend a little more money on your computer games!	Considering the looks of this place, you decide that next time you'd be better off to spend a little more money on your computer games!
While life may be possible, it is no longer worth living.	While life may be possible, it is no longer worth living.
The windows are too dirty to see through.	The windows are too dirty to see through.
Nah. Lefty would probably break both your legs!	Nah. Lefty would probably break both your legs!
Nice tuck and roll job, eh?	Nice tuck and roll job, eh?
"Welcome"	"Welcome"
Amazed by your own cleverness, you lift the door mat and discover...	Amazed by your own cleverness, you lift the door mat and discover...
...absolutely nothing!	...absolutely nothing!
(What did you expect? A key?)	(What did you expect? A key?)
You can't. The door is securely locked. 	You can't. The door is securely locked. 
Lefty's closes at 3:00 a.m.	Lefty's closes at 3:00 a.m.
"STOP, PERVERT!!!" shouts the cop.\n\n"I wonder who he's yelling at," you think.	"STOP, PERVERT!!!" shouts the cop.\n\n"I wonder who he's yelling at," you think.
"Caught you, pervert!" the cop shouts. "We don't like people exposing themselves around this town, especially wearing one of those!"	"Caught you, pervert!" the cop shouts. "We don't like people exposing themselves around this town, especially wearing one of those!"
Next time, if you insist on wearing your "lubber" in public, you should at least zip your fly.	Next time, if you insist on wearing your "lubber" in public, you should at least zip your fly.
He appears to be chasing someone!	He appears to be chasing someone!
Try moving to the east end of the fire escape.	Try moving to the east end of the fire escape.
Try moving to the west end of the fire escape.	Try moving to the west end of the fire escape.
%m7 and a fence.	%m7 and a fence.
Nah. That room needs the fresh air!	Nah. That room needs the fresh air!
You are on a fire escape. A rusty ladder is at one end. East of the fire escape is another window, just out of your reach.	You are on a fire escape. A rusty ladder is at one end. East of the fire escape is another window, just out of your reach.
%m7, a fence, and something sitting in the east window.	%m7, a fence, and something sitting in the east window.
It's a nice little alley, with a trash bin, two windows, a fire escape	It's a nice little alley, with a trash bin, two windows, a fire escape
Move closer to the ladder.	Move closer to the ladder.
(Of course, you can't play the violin now, but you get the idea.)	(Of course, you can't play the violin now, but you get the idea.)
Unlock it? From the outside?	Unlock it? From the outside?
You can't. It's locked from the inside.	You can't. It's locked from the inside.
Looking inside the west window, you see the room you just left.	Looking inside the west window, you see the room you just left.
Looking at the east window, you notice a bottle of pills sitting on the window ledge.	Looking at the east window, you notice a bottle of pills sitting on the window ledge.
There are two windows high above you. The west window by the fire escape has a dim, reddish glow; the east window is dark. There may be something on the sill of the east window, but you can't make it out from down here.	There are two windows high above you. The west window by the fire escape has a dim, reddish glow; the east window is dark. There may be something on the sill of the east window, but you can't make it out from down here.
You broke it, didn't you?	You broke it, didn't you?
You lean far out over the railing before remembering that agility is yet another of your short suits.	You lean far out over the railing before remembering that agility is yet another of your short suits.
With the rope securely holding you to the railing, you can reach all the way over to the window. NOW, of all times, you notice the window's locked!	With the rope securely holding you to the railing, you can reach all the way over to the window. NOW, of all times, you notice the window's locked!
Subtly, you smash the window with your hammer. Your future as a second-story man seems quite plausible!	Subtly, you smash the window with your hammer. Your future as a second-story man seems quite plausible!
You got 'em! But what are they?	You got 'em! But what are they?
You might try reaching over to the window first.	You might try reaching over to the window first.
You consider sticking your hand through a solid glass window, but realize that if you did, you wouldn't be able to play the violin.	You consider sticking your hand through a solid glass window, but realize that if you did, you wouldn't be able to play the violin.
It already is.	It already is.
What is this; a death wish?	What is this; a death wish?
You already took them. Why do this again?	You already took them. Why do this again?
Amidst assorted, odoriferous refuse from Lefty's clientel, you discover Lefty's old, left-handed hammer.	Amidst assorted, odoriferous refuse from Lefty's clientel, you discover Lefty's old, left-handed hammer.
There's nothing else here worth describing, let alone taking.	There's nothing else here worth describing, let alone taking.
"YUCK!!"	"YUCK!!"
Unfortunately, you can't see much from out here.	Unfortunately, you can't see much from out here.
Wow! Does your head hurt!!	Wow! Does your head hurt!!
Hey! Where are you?	Hey! Where are you?
After a careful analysis of your surroundings, you conclude you are at the bottom of a pile of garbage!	After a careful analysis of your surroundings, you conclude you are at the bottom of a pile of garbage!
Move to the front of the trash bin.	Move to the front of the trash bin.
There's no way to reach the ladder from down here. It's only accessible from above.	There's no way to reach the ladder from down here. It's only accessible from above.
You see alleys stretching off to infinity.	You see alleys stretching off to infinity.
The fence is much too tall for you to climb over.	The fence is much too tall for you to climb over.
It's not long enough to reach from here.	It's not long enough to reach from here.
It's not long enough to reach anywhere, but you might want to use it for safety purposes.	It's not long enough to reach anywhere, but you might want to use it for safety purposes.
Be more specific.	Be more specific.
You untie the rope.	You untie the rope.
Using the dull pocket knife, you cut the rope free.	Using the dull pocket knife, you cut the rope free.
%g176	%g176
A rickety fire escape, complete with safety ladder, is loosely attached to the building. A mild, reddish glow comes from the window behind it.	A rickety fire escape, complete with safety ladder, is loosely attached to the building. A mild, reddish glow comes from the window behind it.
Unfortunately the lid on the trash bin just will not close.	Unfortunately the lid on the trash bin just will not close.
Try as you might, it is impossible to move the trash bin.	Try as you might, it is impossible to move the trash bin.
The solution is closer to you than that.	The solution is closer to you than that.
There is an old neon sign hanging on the wall that says "Hotel"...	There is an old neon sign hanging on the wall that says "Hotel"...
...approximately.	...approximately.
You can't. Even its rusty bolts are too tough for you!	You can't. Even its rusty bolts are too tough for you!
Not now!	Not now!
There may be something in the east window, but from here, you're not sure.	There may be something in the east window, but from here, you're not sure.
It's a long way to the ground!	It's a long way to the ground!
Move closer to the window, if you want to go back in the hooker's room.	Move closer to the window, if you want to go back in the hooker's room.
You reconsider after noticing the trash bin is behind where you would fall!	You reconsider after noticing the trash bin is behind where you would fall!
You are in Lefty's one and only restroom. The stench is overpowering, there is graffiti on the walls, and you doubt that the sink was clean even when it was installed. Even roaches can't survive in this place!	You are in Lefty's one and only restroom. The stench is overpowering, there is graffiti on the walls, and you doubt that the sink was clean even when it was installed. Even roaches can't survive in this place!
%m8Scott me up, Beamie!"	%m8Scott me up, Beamie!"
Ahhhhhhh.	Ahhhhhhh.
%m8Attention arcade game players: please don't eat the urinal cakes!"	%m8Attention arcade game players: please don't eat the urinal cakes!"
%m8It takes leather balls to play rugby!"	%m8It takes leather balls to play rugby!"
Funny. No one knocks back.	Funny. No one knocks back.
NOW??	NOW??
You see many messages. One is:\n\n"	You see many messages. One is:\n\n"
You see a handsome, dashing, macho, sexy, young man. (Obviously, this mirror has quite a bit of distortion!)	You see a handsome, dashing, macho, sexy, young man. (Obviously, this mirror has quite a bit of distortion!)
You grab an ancient copy of the "Ball Street Journal," and settle in to "sit and think!"	You grab an ancient copy of the "Ball Street Journal," and settle in to "sit and think!"
You feel a great relief!	You feel a great relief!
Why, look! Some woman removed her diamond ring to wash her hands, and forgot to take it with her.	Why, look! Some woman removed her diamond ring to wash her hands, and forgot to take it with her.
Got it!\n\nYou briefly consider an attempt to find the ring's owner, but return to your normal self and pocket it instead.	Got it!\n\nYou briefly consider an attempt to find the ring's owner, but return to your normal self and pocket it instead.
A small, neatly lettered sign reminds you:\n\n"Since we can't clean up after every customer, please rinse out this sink when you are finished."	A small, neatly lettered sign reminds you:\n\n"Since we can't clean up after every customer, please rinse out this sink when you are finished."
Evidently, you are the first customer who can read.	Evidently, you are the first customer who can read.
My, my. Aren't we the little sick-o!	My, my. Aren't we the little sick-o!
Say, here's an interesting one:\n\n"The password is: 'Ken sent me.'"	Say, here's an interesting one:\n\n"The password is: 'Ken sent me.'"
Bad idea, eh Larry?	Bad idea, eh Larry?
Your life passes before your eyes.	Your life passes before your eyes.
You doze briefly.	You doze briefly.
What's that aroma?	What's that aroma?
It's not a pretty sight!	It's not a pretty sight!
Say, there's no soap.	Say, there's no soap.
There's no towels.	There's no towels.
Move closer to the handle.	Move closer to the handle.
Your hands are still dirty, but now they're wet!	Your hands are still dirty, but now they're wet!
The toilet paper is only there for official purposes.	The toilet paper is only there for official purposes.
Carefully finishing your duties, you wipe and toss the newspaper behind the toilet for the next user.	Carefully finishing your duties, you wipe and toss the newspaper behind the toilet for the next user.
You only read while "enthroned."	You only read while "enthroned."
Your face is still dirty, but at least it's now dripping with water.	Your face is still dirty, but at least it's now dripping with water.
Ok. You're dry (but your keyboard is still damp)!	Ok. You're dry (but your keyboard is still damp)!
Realizing your mistake, you quickly jiggle the handle, attempting to stem the onrushing tide of water.	Realizing your mistake, you quickly jiggle the handle, attempting to stem the onrushing tide of water.
It doesn't work.	It doesn't work.
It's nice of you to try, but this sink is too far gone to save!	It's nice of you to try, but this sink is too far gone to save!
No one would drink from ANY fixture in here!	No one would drink from ANY fixture in here!
Nice idea, but the mirror is firmly attached to the wall.	Nice idea, but the mirror is firmly attached to the wall.
Yuck!	Yuck!
Lefty must be running low on air freshener.	Lefty must be running low on air freshener.
No wonder your eyesight is so bad!	No wonder your eyesight is so bad!
Been drinking Lefty's liquor again, eh?	Been drinking Lefty's liquor again, eh?
You are in a dimly lit hallway. The paint peeling off the walls gives the cockroaches something to watch. An old table is pushed against the west wall. A filthy drunk sits on the filthy floor, leaning against the filthy wall.	You are in a dimly lit hallway. The paint peeling off the walls gives the cockroaches something to watch. An old table is pushed against the west wall. A filthy drunk sits on the filthy floor, leaning against the filthy wall.
"Jeeezz! Somethin' die in there??"	"Jeeezz! Somethin' die in there??"
You can remember when that table held a rose.	You can remember when that table held a rose.
You find nothing but odor.	You find nothing but odor.
"Hiya shhhhonny. How's 'bout you 'n' me havin' a lil' drink?"	"Hiya shhhhonny. How's 'bout you 'n' me havin' a lil' drink?"
Glug, glug, glug, glug, glug.	Glug, glug, glug, glug, glug.
Slurp! "Ahhhh! That did hit the ol' spot!"	Slurp! "Ahhhh! That did hit the ol' spot!"
"Ya know, ya mus' be ma only frien' in the whole world! Shhoooo, I'm gonna give ya my only posshhess... hhic!	"Ya know, ya mus' be ma only frien' in the whole world! Shhoooo, I'm gonna give ya my only posshhess... hhic!
He's a poor little lamb, who has lost his way...	He's a poor little lamb, who has lost his way...
...and also his bladder control!	...and also his bladder control!
There is a single, lovely, long-stemmed, red rose lying incongruously on the table.	There is a single, lovely, long-stemmed, red rose lying incongruously on the table.
"Wadda ya tryin' to do; make me a soprano??"	"Wadda ya tryin' to do; make me a soprano??"
"Geeze! Them pointy-toed shoes hurt!"	"Geeze! Them pointy-toed shoes hurt!"
You generously hand him a dollar.	You generously hand him a dollar.
"Shhaay, thanksh buddy! How 'bout sshhom'ore?"	"Shhaay, thanksh buddy! How 'bout sshhom'ore?"
He responds, "Ya know, whad I really need is a good, sshhtiff belt!"	He responds, "Ya know, whad I really need is a good, sshhtiff belt!"
You spend hours carefully examining every brick. You find nothing.	You spend hours carefully examining every brick. You find nothing.
You have no drink to give him.	You have no drink to give him.
There's no one selling anything here. Try the bartender out front.	There's no one selling anything here. Try the bartender out front.
He's too drunk to want anything.	He's too drunk to want anything.
He's beyond help, but thirsty.	He's beyond help, but thirsty.
"...my only posshhess... hhic!	"...my only posshhess... hhic!
"...all I got in the world.\n\nWhat'sha guy like me need witta TV remote control!?"	"...all I got in the world.\n\nWhat'sha guy like me need witta TV remote control!?"
"Hey! Wake up!"	"Hey! Wake up!"
Caught ya! Now open the door, then get your nose out of that manual and start playing this game the right way!	Caught ya! Now open the door, then get your nose out of that manual and start playing this game the right way!
This is the sleaziest bar you've ever been in. And you've been in quite a few.	This is the sleaziest bar you've ever been in. And you've been in quite a few.
You are standing.	You are standing.
You are sitting.	You are sitting.
You insert a dollar into the juke box, and select a suitably sleazy song.	You insert a dollar into the juke box, and select a suitably sleazy song.
You rap loudly on the naugahyde door. You wonder how many naugas had to give their all just to decorate this sleazehole.	You rap loudly on the naugahyde door. You wonder how many naugas had to give their all just to decorate this sleazehole.
So what?	So what?
"Yeah. Whatsda passwoid?"	"Yeah. Whatsda passwoid?"
"Scram, dog breath!"	"Scram, dog breath!"
"Come on in!"	"Come on in!"
"...blah, blah, blah, blah, blah..."	"...blah, blah, blah, blah, blah..."
"...a lotta guys just leave her hanging in a tree somewhere!"	"...a lotta guys just leave her hanging in a tree somewhere!"
"...'cause Thursday's your night in the barrel!"	"...'cause Thursday's your night in the barrel!"
"...just think of the money he saved!"	"...just think of the money he saved!"
"...and there stood the pig and the cow!"	"...and there stood the pig and the cow!"
"...dammit Liza, doncha know ya own reflection?"	"...dammit Liza, doncha know ya own reflection?"
"...we are coming back this way, aren't we?"	"...we are coming back this way, aren't we?"
"...You idiot! I said POSSE!!"	"...You idiot! I said POSSE!!"
"...nobody can eat THAT much ice cream!"	"...nobody can eat THAT much ice cream!"
"...25 bucks, same as in town!"	"...25 bucks, same as in town!"
You'd better sit down first.	You'd better sit down first.
You greet the bartender.\n\n"What'll it be," Lefty responds, "whiskey, wine or beer?"	You greet the bartender.\n\n"What'll it be," Lefty responds, "whiskey, wine or beer?"
"I'll have a glass of your fine, well whiskey!" you tell Lefty.	"I'll have a glass of your fine, well whiskey!" you tell Lefty.
"Gimme a mug o' beer!" you order Lefty.	"Gimme a mug o' beer!" you order Lefty.
"That'll be $3.00, please."	"That'll be $3.00, please."
You flip three bucks onto the counter.	You flip three bucks onto the counter.
"I'm presently a little short," you stammer.	"I'm presently a little short," you stammer.
"Yeah, and not just in the financial department, I bet!" he replies, grabbing back your order.	"Yeah, and not just in the financial department, I bet!" he replies, grabbing back your order.
You down the beer in your pseudo-macho style, and slam the mug back on the bar.	You down the beer in your pseudo-macho style, and slam the mug back on the bar.
You delicately sip the wine until it's all gone.\n\nYou tell Lefty, "I find this impudent and sassy, with the slightest hint of impertinence."	You delicately sip the wine until it's all gone.\n\nYou tell Lefty, "I find this impudent and sassy, with the slightest hint of impertinence."
He gazes at you longingly and moistens his lips!	He gazes at you longingly and moistens his lips!
Suddenly you feel a little woozy.	Suddenly you feel a little woozy.
This one tastes even better than the last. One more sounds like a good idea.	This one tastes even better than the last. One more sounds like a good idea.
Try sitting at the bar; that usually gets Lefty's attention.	Try sitting at the bar; that usually gets Lefty's attention.
It's not good etiquette to drink standing up.	It's not good etiquette to drink standing up.
Since you can only balance one open glass of whiskey at a time, you toss this one down immediately.	Since you can only balance one open glass of whiskey at a time, you toss this one down immediately.
"May I please have a glass of your delicate white zinfandel, sir?" you ask Lefty.	"May I please have a glass of your delicate white zinfandel, sir?" you ask Lefty.
Hey, was that your voice?	Hey, was that your voice?
You don't drink the whiskey, but instead, decide to carry it with you wherever you go, precariously balanced in an open shot glass.	You don't drink the whiskey, but instead, decide to carry it with you wherever you go, precariously balanced in an open shot glass.
The whiskey burns its way down your throat. You vow to never again buy a "well" brand.	The whiskey burns its way down your throat. You vow to never again buy a "well" brand.
Hold on; you haven't got your last order yet!	Hold on; you haven't got your last order yet!
You feel a little light-headed.	You feel a little light-headed.
Shaking your head, you clear away the cobwebs and are able to once again walk in your standard, studly style.	Shaking your head, you clear away the cobwebs and are able to once again walk in your standard, studly style.
"Cram it, clown!" you tell the bore on the stool next to you!	"Cram it, clown!" you tell the bore on the stool next to you!
"Same to ya!" shouts Lefty.	"Same to ya!" shouts Lefty.
It's an antique, left over from "King's Quest III."	It's an antique, left over from "King's Quest III."
Patience, Larry; patience!	Patience, Larry; patience!
The door is locked. And, there is no key.	The door is locked. And, there is no key.
She may not be a great looker, but think of the muscles in that leg.	She may not be a great looker, but think of the muscles in that leg.
It's just going around in circles...	It's just going around in circles...
...like your life.	...like your life.
You don't know much about art, but you do know what you like!	You don't know much about art, but you do know what you like!
You mean to say you're playing a 3-D adventure game, and all you want is LIGHT beer??	You mean to say you're playing a 3-D adventure game, and all you want is LIGHT beer??
They're just sitting at the bar, drinking their livers into oblivion.	They're just sitting at the bar, drinking their livers into oblivion.
"Sorry, we don't sell them sissy drinks here," says Lefty. "We got whiskey, wine and beer. What do you want?"	"Sorry, we don't sell them sissy drinks here," says Lefty. "We got whiskey, wine and beer. What do you want?"
My, aren't we the little savage! Didn't your mother teach you anything?	My, aren't we the little savage! Didn't your mother teach you anything?
"Who cares," she replies sarcastically. "Stop bugging me, or I'll have my boy friend take care of you when he gets back from the rest room!"	"Who cares," she replies sarcastically. "Stop bugging me, or I'll have my boy friend take care of you when he gets back from the rest room!"
Looks like you're operating at your standard level of charm, Larry.	Looks like you're operating at your standard level of charm, Larry.
"Har, har!!"	"Har, har!!"
He has nothing to say, but says it continuously.	He has nothing to say, but says it continuously.
"Hi there, lovely legs!" you say sweetly. "My name's Larry; Larry Laffer."	"Hi there, lovely legs!" you say sweetly. "My name's Larry; Larry Laffer."
They have no comment.	They have no comment.
He's not bothering you now; leave him alone, you big bully!	He's not bothering you now; leave him alone, you big bully!
Gee, Dad. It's a Wurlitzer!	Gee, Dad. It's a Wurlitzer!
The peephole is locked from the inside.	The peephole is locked from the inside.
Boy, are you drunk!	Boy, are you drunk!
SLAP!	SLAP!
"Ya got me!"	"Ya got me!"
"No, thanks," Lefty replies. "I don't drink."	"No, thanks," Lefty replies. "I don't drink."
"Ok," says Lefty, "but that'll cost ya $%v90.00!"	"Ok," says Lefty, "but that'll cost ya $%v90.00!"
The last of the big time spenders, you go down in a blaze of glory, ordering drinks for everybody in the place.	The last of the big time spenders, you go down in a blaze of glory, ordering drinks for everybody in the place.
"I'll not help you," says Lefty, "no matter how much you offer me!"	"I'll not help you," says Lefty, "no matter how much you offer me!"
The naugahyde bounces the hammer back, grazing your scalp but slightly.	The naugahyde bounces the hammer back, grazing your scalp but slightly.
You flip a fiver out on the bar. Lefty grabs it, smiles, and says, "Hey, thanks buddy! 	You flip a fiver out on the bar. Lefty grabs it, smiles, and says, "Hey, thanks buddy! 
%m74	%m74
You don't have enough money!	You don't have enough money!
"Double down on eleven."	"Double down on eleven."
"If you're short of money, you could always try gambling at the casino."	"If you're short of money, you could always try gambling at the casino."
"If you're bored hanging around my place, try hailing a cab outside."	"If you're bored hanging around my place, try hailing a cab outside."
"Have you talked to Sierra On-Line lately?"	"Have you talked to Sierra On-Line lately?"
"Guys tell me I need to clean my rest room walls."	"Guys tell me I need to clean my rest room walls."
He appears to be perverted, twisted and sick!	He appears to be perverted, twisted and sick!
You instantly take a liking to him.	You instantly take a liking to him.
The bar's storage room is almost empty. Its most significant feature is a big, mean-looking dude.	The bar's storage room is almost empty. Its most significant feature is a big, mean-looking dude.
"Ya wanna go upstairs?" he says in a scholarly voice, "ya gotta pays da price!"	"Ya wanna go upstairs?" he says in a scholarly voice, "ya gotta pays da price!"
"$100.00, cash up front, no refunds."	"$100.00, cash up front, no refunds."
He certainly has a pleasing manner about him.	He certainly has a pleasing manner about him.
"Thanks," he growls. "Remember, no refunds!"	"Thanks," he growls. "Remember, no refunds!"
Evidently no one in the bar wants to play "Knock, knock" with you.	Evidently no one in the bar wants to play "Knock, knock" with you.
It's the door from the bar. Its far side looks better than this side.	It's the door from the bar. Its far side looks better than this side.
You don't have enough money.	You don't have enough money.
"You like that stuff, eh, boy?"	"You like that stuff, eh, boy?"
